city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Saarijärvi,62.7056,25.2569,Finland,FI,Keski-Suomi,minor,9915,9915
Kauniainen,60.2097,24.7264,Finland,FI,Uusimaa,minor,9486,9486
Orivesi,61.6778,24.3569,Finland,FI,Pirkanmaa,minor,9408,9408
Närpes,62.4736,21.3375,Finland,FI,Pohjanmaa,minor,9387,9387
Somero,60.6292,23.5139,Finland,FI,Varsinais-Suomi,minor,9093,9093
Karkkila,60.5347,24.2097,Finland,FI,Uusimaa,minor,8969,8969
Sodankylä,67.4171,26.6000,Finland,FI,Lappi,minor,8942,4091
Hanko,59.8236,22.9681,Finland,FI,Uusimaa,minor,8864,8864
Kuhmo,64.1250,29.5167,Finland,FI,Kainuu,minor,8806,8806
Kiuruvesi,63.6528,26.6194,Finland,FI,Pohjois-Savo,minor,8600,8600
Laitila,60.8792,21.6931,Finland,FI,Varsinais-Suomi,minor,8520,8520
Pudasjärvi,65.3583,27.0000,Finland,FI,Pohjois-Pohjanmaa,minor,8257,8257
Nurmes,63.5444,29.1333,Finland,FI,Pohjois-Karjala,minor,7996,7996
Kemijärvi,66.7167,27.4333,Finland,FI,Lappi,minor,7766,7766
Oulainen,64.2667,24.8167,Finland,FI,Pohjois-Pohjanmaa,minor,7610,7610
Kokemäki,61.2556,22.3486,Finland,FI,Satakunta,minor,7591,7591
Nykarleby,63.5167,22.5333,Finland,FI,Pohjanmaa,minor,7564,7564
Haapajärvi,63.7486,25.3181,Finland,FI,Pohjois-Pohjanmaa,minor,7438,7438
Suonenjoki,62.6250,27.1222,Finland,FI,Pohjois-Savo,minor,7390,7390
Harjavalta,61.3139,22.1417,Finland,FI,Satakunta,minor,7296,7296
Ikaalinen,61.7694,23.0681,Finland,FI,Pirkanmaa,minor,7207,7207
Haapavesi,64.1375,25.3667,Finland,FI,Pohjois-Pohjanmaa,minor,7167,7167
Outokumpu,62.7250,29.0167,Finland,FI,Pohjois-Karjala,minor,7139,7139
Virrat,62.2403,23.7708,Finland,FI,Pirkanmaa,minor,7002,7002
Kristinestad,62.2736,21.3778,Finland,FI,Pohjanmaa,minor,6793,6793
Parkano,62.0097,23.0250,Finland,FI,Pirkanmaa,minor,6766,6766
Viitasaari,63.0750,25.8597,Finland,FI,Keski-Suomi,minor,6666,6666
Ähtäri,62.5500,24.0694,Finland,FI,Etelä-Pohjanmaa,minor,6068,6068
Kannus,63.9000,23.9167,Finland,FI,Keski-Pohjanmaa,minor,5520,5520
Juankoski,63.0639,28.3278,Finland,FI,Pohjois-Savo,minor,4804,4804
Ylitornio,66.3167,23.6667,Finland,FI,Lappi,minor,4291,4291
Salla,66.8333,28.6667,Finland,FI,Lappi,minor,3727,3727
Pello,66.7750,23.9667,Finland,FI,Lappi,minor,3623,3623
Kaavi,62.9750,28.4833,Finland,FI,Pohjois-Savo,minor,3194,3194
Muonio,67.9500,23.6833,Finland,FI,Lappi,minor,2358,2358
Kaskinen,62.3847,21.2222,Finland,FI,Pohjanmaa,minor,1285,1285
Pirkkala,61.4667,23.5667,Finland,FI,Pirkanmaa,minor,,
Tuusula,60.4167,25.0333,Finland,FI,Uusimaa,minor,,
Kempele,64.9167,25.5000,Finland,FI,Pohjois-Pohjanmaa,minor,,
Kirkkonummi,60.1167,24.4333,Finland,FI,Uusimaa,minor,,
Aura,60.6000,22.5667,Finland,FI,Varsinais-Suomi,minor,,
Lieto,60.5000,22.4500,Finland,FI,Varsinais-Suomi,minor,,
Lempäälä,61.3167,23.7500,Finland,FI,Pirkanmaa,minor,,
Muurame,62.1333,25.6667,Finland,FI,Keski-Suomi,minor,,
Masku,60.5667,22.1000,Finland,FI,Varsinais-Suomi,minor,,
Sipoo,60.3667,25.2667,Finland,FI,Uusimaa,minor,,
Siilinjärvi,63.0833,27.6667,Finland,FI,Pohjois-Savo,minor,,
Nummela,60.3333,24.3333,Finland,FI,Uusimaa,minor,,
Larsmo,63.7500,22.8000,Finland,FI,Pohjanmaa,minor,,
Rusko,60.5333,22.2167,Finland,FI,Varsinais-Suomi,minor,,
Hollola,61.0000,25.5000,Finland,FI,Päijät-Häme,minor,,
Nastola,60.9500,25.9333,Finland,FI,Päijät-Häme,minor,,
Kangasala,61.4667,24.0833,Finland,FI,Pirkanmaa,minor,,
Mäntsälä,60.6333,25.3167,Finland,FI,Uusimaa,minor,,
Pornainen,60.4667,25.3833,Finland,FI,Uusimaa,minor,,
Jomala,60.1500,19.9667,Finland,FI,Åland,minor,,
Nakkila,61.3667,22.0000,Finland,FI,Satakunta,minor,,
Jokioinen,60.8167,23.4667,Finland,FI,Kanta-Häme,minor,,
Turenki,60.9167,24.6333,Finland,FI,Kanta-Häme,minor,,
Laukaa,62.4167,25.9500,Finland,FI,Keski-Suomi,minor,,
Parola,61.0500,24.3667,Finland,FI,Kanta-Häme,minor,,
Siuntio,60.1833,24.2000,Finland,FI,Uusimaa,minor,,
Korsholm,63.1167,21.7167,Finland,FI,Pohjanmaa,minor,,
Askola,60.5333,25.6000,Finland,FI,Uusimaa,minor,,
Nousiainen,60.6167,22.1333,Finland,FI,Varsinais-Suomi,minor,,
Raseborg,59.9833,23.6500,Finland,FI,Uusimaa,minor,,
Oitti,60.7833,25.0333,Finland,FI,Kanta-Häme,minor,,
Godby,60.2333,20.0000,Finland,FI,Åland,minor,,
Hämeenkyrö,61.6333,23.2000,Finland,FI,Pirkanmaa,minor,,
Luvia,61.3500,21.6167,Finland,FI,Satakunta,minor,,
Ilmajoki,62.7333,22.5667,Finland,FI,Etelä-Pohjanmaa,minor,,
Eura,61.1333,22.1333,Finland,FI,Satakunta,minor,,
Tarvasjoki,60.5833,22.7333,Finland,FI,Varsinais-Suomi,minor,,
Mänttä,62.0333,24.6333,Finland,FI,Pirkanmaa,minor,,
Kontiolahti,62.7667,29.8500,Finland,FI,Pohjois-Karjala,minor,,
Järvelä,60.8667,25.2833,Finland,FI,Päijät-Häme,minor,,
Eurajoki,61.2000,21.7333,Finland,FI,Satakunta,minor,,
Lemland,60.0833,20.1000,Finland,FI,Åland,minor,,
Siltakylä,60.5000,26.7167,Finland,FI,Kymenlaakso,minor,,
Humppila,60.9333,23.3667,Finland,FI,Kanta-Häme,minor,,
Liperi,62.5333,29.3667,Finland,FI,Pohjois-Karjala,minor,,
Laihia,62.9667,22.0167,Finland,FI,Pohjanmaa,minor,,
Liminka,64.8167,25.4000,Finland,FI,Pohjois-Pohjanmaa,minor,,
Pyhäranta,60.9500,21.4500,Finland,FI,Varsinais-Suomi,minor,,
Mynämäki,60.6667,22.0000,Finland,FI,Varsinais-Suomi,minor,,
Ingå,60.0500,24.0167,Finland,FI,Uusimaa,minor,,
Pukkila,60.6500,25.5667,Finland,FI,Uusimaa,minor,,
Vesilahti,61.3167,23.6167,Finland,FI,Pirkanmaa,minor,,
Vääksy,61.1833,25.5500,Finland,FI,Päijät-Häme,minor,,
Tyrnävä,64.7667,25.6500,Finland,FI,Pohjois-Pohjanmaa,minor,,
Oripää,60.8500,22.6833,Finland,FI,Varsinais-Suomi,minor,,
Hammarland,60.2167,19.7500,Finland,FI,Åland,minor,,
Keminmaa,65.8167,24.5333,Finland,FI,Lappi,minor,,
Ödkarby,60.3000,19.9833,Finland,FI,Åland,minor,,
Bennäs,63.6000,22.8000,Finland,FI,Pohjanmaa,minor,,
Isokyrö,63.0000,22.3167,Finland,FI,Pohjanmaa,minor,,
Lemi,61.0500,27.8000,Finland,FI,Etelä-Karjala,minor,,
Loppi,60.7167,24.4500,Finland,FI,Kanta-Häme,minor,,
Taivassalo,60.5667,21.6000,Finland,FI,Varsinais-Suomi,minor,,
Ypäjä,60.8000,23.2833,Finland,FI,Kanta-Häme,minor,,
Lumparland,60.1167,20.2500,Finland,FI,Åland,minor,,
Koski Tl,60.6500,23.1500,Finland,FI,Varsinais-Suomi,minor,,
Kaustinen,63.5333,23.7000,Finland,FI,Keski-Pohjanmaa,minor,,
Sauvo,60.3500,22.7000,Finland,FI,Varsinais-Suomi,minor,,
Malax,62.9333,21.5667,Finland,FI,Pohjanmaa,minor,,
Kyrö,60.7000,22.7500,Finland,FI,Varsinais-Suomi,minor,,
Vinkkilä,60.6833,21.7167,Finland,FI,Varsinais-Suomi,minor,,
Pälkäne,61.3333,24.2667,Finland,FI,Pirkanmaa,minor,,
Muhos,64.8000,25.9833,Finland,FI,Pohjois-Pohjanmaa,minor,,
Alavieska,64.1667,24.3000,Finland,FI,Pohjois-Pohjanmaa,minor,,
Kausala,60.8889,26.3223,Finland,FI,Kymenlaakso,minor,,
Brändö,60.4167,21.0500,Finland,FI,Åland,minor,,
Vimpeli,63.1500,23.8000,Finland,FI,Etelä-Pohjanmaa,minor,,
Köyliö,61.1167,22.3500,Finland,FI,Satakunta,minor,,
Marttila,60.5833,22.9000,Finland,FI,Varsinais-Suomi,minor,,
Korsnäs,62.7833,21.2000,Finland,FI,Pohjanmaa,minor,,
Hämeenkoski,61.0333,25.1500,Finland,FI,Päijät-Häme,minor,,
Urjala,61.0833,23.5333,Finland,FI,Pirkanmaa,minor,,
Uurainen,62.5000,25.4500,Finland,FI,Keski-Suomi,minor,,
Lumijoki,64.8333,25.1833,Finland,FI,Pohjois-Pohjanmaa,minor,,
Teuva,62.4833,21.7333,Finland,FI,Etelä-Pohjanmaa,minor,,
Eckerö,60.2000,19.6167,Finland,FI,Åland,minor,,
Simpele,61.4333,29.3667,Finland,FI,Etelä-Karjala,minor,,
Sottunga,60.1333,20.6667,Finland,FI,Åland,minor,,
Jalasjärvi,62.5000,22.7500,Finland,FI,Etelä-Pohjanmaa,minor,,
Kimito,60.1667,22.7500,Finland,FI,Varsinais-Suomi,minor,,
Dalsbruk,60.0333,22.5167,Finland,FI,Varsinais-Suomi,minor,,
Myrskylä,60.6667,25.8500,Finland,FI,Uusimaa,minor,,
Virolahti,60.5167,27.6831,Finland,FI,Kymenlaakso,minor,,
Jämijärvi,61.8167,22.7000,Finland,FI,Satakunta,minor,,
Björby,60.2572,20.1342,Finland,FI,Åland,minor,,
Petäjävesi,62.2500,25.2000,Finland,FI,Keski-Suomi,minor,,
Kronoby,63.7167,23.0333,Finland,FI,Pohjanmaa,minor,,
Lapinlahti,63.3667,27.4000,Finland,FI,Pohjois-Savo,minor,,
Hankasalmi,62.3833,26.4333,Finland,FI,Keski-Suomi,minor,,
Vörå,63.1500,22.2500,Finland,FI,Pohjanmaa,minor,,
Joroinen,62.1833,27.8333,Finland,FI,Etelä-Savo,minor,,
Leppävirta,62.4833,27.7833,Finland,FI,Pohjois-Savo,minor,,
Parikkala,61.5500,29.5000,Finland,FI,Etelä-Karjala,minor,,
Punkalaidun,61.1167,23.1000,Finland,FI,Pirkanmaa,minor,,
Lappträsk,60.6333,26.2167,Finland,FI,Uusimaa,minor,,
Karijoki,62.3000,21.7000,Finland,FI,Etelä-Pohjanmaa,minor,,
Lappajärvi,63.2000,23.6333,Finland,FI,Etelä-Pohjanmaa,minor,,
Kuortane,62.8000,23.5000,Finland,FI,Etelä-Pohjanmaa,minor,,
Pomarkku,61.7000,22.0000,Finland,FI,Satakunta,minor,,
Merikarvia,61.8500,21.5000,Finland,FI,Satakunta,minor,,
Korkeakoski,61.8000,24.3667,Finland,FI,Pirkanmaa,minor,,
Evijärvi,63.3667,23.4833,Finland,FI,Etelä-Pohjanmaa,minor,,
Vårdö,60.2461,20.3739,Finland,FI,Åland,minor,,
Rantasalmi,62.0667,28.3000,Finland,FI,Etelä-Savo,minor,,
Kustavi,60.5500,21.3500,Finland,FI,Varsinais-Suomi,minor,,
Geta,60.3833,19.8500,Finland,FI,Åland,minor,,
Toivakka,62.1000,26.0833,Finland,FI,Keski-Suomi,minor,,
Ii,65.3167,25.3667,Finland,FI,Pohjois-Pohjanmaa,minor,,
Savitaipale,61.2000,27.7000,Finland,FI,Etelä-Karjala,minor,,
Veteli,63.4667,23.7667,Finland,FI,Keski-Pohjanmaa,minor,,
Sievi,63.9000,24.5000,Finland,FI,Pohjois-Pohjanmaa,minor,,
Taavetti,60.9167,27.5667,Finland,FI,Etelä-Karjala,minor,,
Reisjärvi,63.6167,24.9000,Finland,FI,Pohjois-Pohjanmaa,minor,,
Mäntyharju,61.4167,26.8833,Finland,FI,Etelä-Savo,minor,,
Sysmä,61.5000,25.6833,Finland,FI,Päijät-Häme,minor,,
Padasjoki,61.3500,25.2833,Finland,FI,Päijät-Häme,minor,,
Rautalampi,62.6333,26.8333,Finland,FI,Pohjois-Savo,minor,,
Ruovesi,61.9833,24.0833,Finland,FI,Pirkanmaa,minor,,
Pyhäjoki,64.4667,24.2333,Finland,FI,Pohjois-Pohjanmaa,minor,,
Lavia,61.6000,22.6000,Finland,FI,Satakunta,minor,,
Polvijärvi,62.8500,29.3667,Finland,FI,Pohjois-Karjala,minor,,
Kihniö,62.2000,23.1833,Finland,FI,Pirkanmaa,minor,,
Ruokolahti,61.2833,28.8333,Finland,FI,Etelä-Karjala,minor,,
Rääkkylä,62.3167,29.6167,Finland,FI,Pohjois-Karjala,minor,,
Konnevesi,62.6167,26.3167,Finland,FI,Keski-Suomi,minor,,
Honkajoki,61.9833,22.2667,Finland,FI,Satakunta,minor,,
Toholampi,63.7667,24.2500,Finland,FI,Keski-Pohjanmaa,minor,,
Joutsa,61.7333,26.1167,Finland,FI,Keski-Suomi,minor,,
Hartola,61.5833,26.0167,Finland,FI,Päijät-Häme,minor,,
Ruukki,64.6667,25.1000,Finland,FI,Pohjois-Pohjanmaa,minor,,
Kangasniemi,61.9833,26.6333,Finland,FI,Etelä-Savo,minor,,
Juva,61.9000,27.8500,Finland,FI,Etelä-Savo,minor,,
Miehikkälä,60.6667,27.7000,Finland,FI,Kymenlaakso,minor,,
Kumlinge,60.2667,20.7833,Finland,FI,Åland,minor,,
Merijärvi,64.3000,24.4500,Finland,FI,Pohjois-Pohjanmaa,minor,,
Tervo,62.9500,26.7500,Finland,FI,Pohjois-Savo,minor,,
Hailuoto,65.0000,24.7167,Finland,FI,Pohjois-Pohjanmaa,minor,,
Enonkoski,62.0833,28.9333,Finland,FI,Etelä-Savo,minor,,
Keitele,63.1833,26.3667,Finland,FI,Pohjois-Savo,minor,,
Föglö,60.0130,20.4275,Finland,FI,Åland,minor,,
Vesanto,62.9333,26.4167,Finland,FI,Pohjois-Savo,minor,,
Tuusniemi,62.8167,28.5000,Finland,FI,Pohjois-Savo,minor,,
Karvia,62.1333,22.5667,Finland,FI,Satakunta,minor,,
Sulkava,61.7833,28.3833,Finland,FI,Etelä-Savo,minor,,
Pyhäsalmi,63.6833,25.9833,Finland,FI,Pohjois-Pohjanmaa,minor,,
Pertunmaa,61.5000,26.4833,Finland,FI,Etelä-Savo,minor,,
Pielavesi,63.2333,26.7500,Finland,FI,Pohjois-Savo,minor,,
Vieremä,63.7500,27.0167,Finland,FI,Pohjois-Savo,minor,,
Sotkamo,64.1333,28.4167,Finland,FI,Kainuu,minor,,
Soini,62.8667,24.2167,Finland,FI,Etelä-Pohjanmaa,minor,,
Pihtipudas,63.3833,25.5667,Finland,FI,Keski-Suomi,minor,,
Paltamo,64.4167,27.8333,Finland,FI,Kainuu,minor,,
Perho,63.2167,24.4167,Finland,FI,Keski-Pohjanmaa,minor,,
Kärsämäki,63.9667,25.7667,Finland,FI,Pohjois-Pohjanmaa,minor,,
Kinnula,63.3667,24.9667,Finland,FI,Keski-Suomi,minor,,
Kannonkoski,62.9667,25.2500,Finland,FI,Keski-Suomi,minor,,
Isojoki,62.1167,21.9667,Finland,FI,Etelä-Pohjanmaa,minor,,
Siikainen,61.8667,21.8333,Finland,FI,Satakunta,minor,,
Luhanka,61.7833,25.7000,Finland,FI,Keski-Suomi,minor,,
Karlby,59.9167,20.9000,Finland,FI,Åland,minor,,
Kuhmoinen,61.5667,25.1833,Finland,FI,Keski-Suomi,minor,,
Polvijärvi,62.4167,28.3333,Finland,FI,Etelä-Savo,minor,,
Heinävesi,62.4333,28.6000,Finland,FI,Etelä-Savo,minor,,
Juuka,63.2333,29.2500,Finland,FI,Pohjois-Karjala,minor,,
Kyyjärvi,63.0333,24.5667,Finland,FI,Keski-Suomi,minor,,
Valtimo,63.6667,28.8000,Finland,FI,Pohjois-Karjala,minor,,
Sonkajärvi,63.6667,27.5167,Finland,FI,Pohjois-Savo,minor,,
Halsua,63.4667,24.1667,Finland,FI,Keski-Pohjanmaa,minor,,
Puumala,61.5333,28.1833,Finland,FI,Etelä-Savo,minor,,
Pulkkila,64.2667,25.8667,Finland,FI,Pohjois-Pohjanmaa,minor,,
Kivijärvi,63.1167,25.1000,Finland,FI,Keski-Suomi,minor,,
Vaala,64.5667,26.8333,Finland,FI,Kainuu,minor,,
Multia,62.4167,24.7833,Finland,FI,Keski-Suomi,minor,,
Simo,65.6667,25.0500,Finland,FI,Lappi,minor,,
Tervola,66.0833,24.8000,Finland,FI,Lappi,minor,,
Pyhäntä,64.1000,26.3167,Finland,FI,Pohjois-Pohjanmaa,minor,,
Ilomantsi,62.6667,30.9167,Finland,FI,Pohjois-Karjala,minor,,
Utajärvi,64.7500,26.3833,Finland,FI,Pohjois-Pohjanmaa,minor,,
Lestijärvi,63.5333,24.6500,Finland,FI,Keski-Pohjanmaa,minor,,
Taivalkoski,65.5667,28.2500,Finland,FI,Pohjois-Pohjanmaa,minor,,
Hyrynsalmi,64.6667,28.5333,Finland,FI,Kainuu,minor,,
Ristijärvi,64.5000,28.2167,Finland,FI,Kainuu,minor,,
Kolari,67.3333,23.8000,Finland,FI,Lappi,minor,,
Suomussalmi,64.9000,29.0000,Finland,FI,Kainuu,minor,,
Rautavaara,63.4833,28.3000,Finland,FI,Pohjois-Savo,minor,,
Ranua,65.9167,26.5333,Finland,FI,Lappi,minor,,
Posio,66.1000,28.1500,Finland,FI,Lappi,minor,,
Puolanka,64.8667,27.6667,Finland,FI,Kainuu,minor,,
Kittilä,67.6667,24.9000,Finland,FI,Lappi,minor,,
Pelkosenniemi,67.1108,27.5106,Finland,FI,Lappi,minor,,
Ivalo,68.6500,27.6000,Finland,FI,Lappi,minor,,
Enontekiö,68.3884,23.6501,Finland,FI,Lappi,minor,,
Savukoski,67.2925,28.1581,Finland,FI,Lappi,minor,,
Utsjoki,69.8833,27.0000,Finland,FI,Lappi,minor,,
Säkylä,61.0333,22.3333,Finland,FI,Satakunta,minor,,
Karstula,62.8667,24.7833,Finland,FI,Keski-Suomi,minor,,
Hirvensalmi,61.6333,26.8000,Finland,FI,Etelä-Savo,minor,,
Åva,60.4500,21.0833,Finland,FI,Åland,minor,,
Maaninka,63.1500,27.3000,Finland,FI,Pohjois-Savo,minor,,
Tammela,60.8000,23.7667,Finland,FI,Kanta-Häme,minor,,
Tohmajärvi,62.1833,30.3833,Finland,FI,Pohjois-Karjala,minor,,
Taipalsaari,61.1500,28.0500,Finland,FI,Etelä-Karjala,minor,,
